"Aust" "Med Sea" "NE Atlantic" "NE Pacific" "NW Pacific" "S Africa"
"Aust" 0 28 34 3 36 7
"Med Sea" 25 0 198 6 53 4
"NE Atlantic" 29 181 0 12 55 4
"NE Pacific" 9 10 15 0 44 0
"NW Pacific" 32 42 50 43 0 1
"S Africa" 10 24 48 3 4 0
